uid,latitude,longitude,date,split,season,region,severity,density
aebg,35.63754905,-79.29071528,23/07/2015,train,7,4,2,73662
aeco,38.2996,-121.383,19/03/2019,train,3,3,4,5862500
aecy,35.659932,-79.24914138,24/09/2020,train,9,4,1,3420
aedy,37.6756,-121.264,18/10/2016,train,10,3,4,2585039.995
aefb,36.03,-78.68256753,01/06/2020,train,6,4,3,160332
aeib,35.70435191,-79.16663621,13/08/2014,train,8,4,2,33112
aeid,39.16522,-96.91105,26/09/2016,train,9,1,3,389340
aejc,42.021242,-78.95833,04/10/2017,train,10,2,1,10451.89394
aekm,35.65436,-79.01216056,24/08/2016,train,8,4,1,2905
aelv,35.79,-79.03326356,10/06/2020,train,6,4,2,41955
aemv,39.3092,-121.595,18/11/2014,train,11,3,4,6065000
aepl,35.6465182,-79.27405606,09/08/2018,train,8,4,2,20206
aeqh,37.6756,-121.264,14/11/2016,train,11,3,4,1864626.663
aetj,35.91318977,-79.18341968,10/06/2014,train,6,4,1,4784
aeuj,36.00756,-78.97114786,12/08/2013,train,8,4,2,58962
aeus,37.9893,-121.463,17/03/2020,train,3,3,4,1722453.5
aexi,35.71124511,-79.15383283,15/09/2016,train,9,4,2,61359
aeyz,35.6296711,-79.30534771,21/06/2016,train,6,4,2,49377
afas,35.63565941,-79.29422509,20/09/2017,train,9,4,2,28446
afbi,38.84259,-85.82827,10/08/2017,train,8,1,4,3355270
afbl,35.67826952,-79.21508142,09/08/2018,train,8,4,1,1682
afcm,41.99847,-78.95185,19/08/2019,train,8,2,4,5688667
afeh,35.51,-79.04122242,02/08/2021,train,8,4,1,19087
afek,41.992305,-78.929219,24/09/2019,train,9,2,1,8393.428023
afel,37.8189,-121.358,16/07/2019,train,7,3,4,2836176.5
affc,35.98,-78.79640887,25/10/2018,train,10,4,2,29157
afgc,37.3978,-120.96,03/12/2014,train,12,3,3,634782.5
afgy,35.70629478,-79.16302753,25/05/2016,train,5,4,1,5228
afhn,35.67137631,-79.2278848,22/04/2015,train,4,4,1,399
afhu,35.98,-78.82921903,17/11/2020,train,11,4,3,250082
afhv,35.87017629,-78.83916151,21/02/2018,train,2,4,1,3268
afip,35.68758466,-79.19777956,28/04/2021,train,4,4,1,968
afiq,35.70038632,-79.17400186,30/07/2013,train,7,4,1,6535
afjc,35.7228225,-79.13232909,16/05/2013,train,5,4,1,7745
afje,41.80086,-73.24929,25/08/2020,train,8,2,1,6528.6
afjf,36.055,-78.763,14/01/2013,train,1,4,2,22385
afke,41.3326,-75.88683,19/08/2021,train,8,2,3,234667
aflh,43.596667,-78.801667,25/04/2014,train,4,2,1,216.7662881
afnd,35.976,-78.74893355,22/09/2015,train,9,4,1,3227
afos,35.8639339,-78.78920057,24/03/2015,train,3,4,1,1598
afsc,36.01,-78.96294531,22/08/2018,train,8,4,1,3646
afsi,35.86256741,-78.77826385,23/06/2014,train,6,4,2,47842
afuh,39.20984,-96.96101,03/09/2013,train,9,1,1,18837
afum,35.70565603,-79.16421395,10/08/2016,train,8,4,1,1815
afvi,35.66216763,-79.24498893,04/09/2019,train,9,4,1,4383
afvu,36.055,-78.763,22/04/2014,train,4,4,1,4350
afwi,38.2104,-121.262,28/02/2017,train,2,3,4,4265780
afyc,38.1688,-121.47,11/08/2021,train,8,3,4,4335000
afzm,35.69559568,-79.18289996,07/12/2015,train,12,4,1,4212
agbl,36.17,-79.05555825,23/06/2020,train,6,4,2,32082
agdh,37.6667,-120.898,07/11/2018,train,11,3,4,6037316
agem,35.63911932,-79.28779868,25/11/2014,train,11,4,2,73126
aggu,43.516667,-79.08,08/04/2016,train,4,2,1,108.307139
aggy,41.33056393,-85.38360833,17/08/2021,train,8,1,3,121344
aghm,35.6677301,-79.23465724,20/09/2016,train,9,4,1,5474
agim,35.742,-79.20355319,20/05/2015,train,5,4,1,264
agix,35.68225,-79.07802,08/10/2014,train,10,4,3,487965
agjr,35.6992685,-79.17607808,14/04/2014,train,4,4,1,9604
aglm,38.785,-121.653,19/08/2014,train,8,3,4,5935000
agmv,36.1856,-104.8038,03/05/2016,train,5,3,1,3315.384043
agpk,35.72295557,-79.13208192,27/08/2018,train,8,4,1,484
agqj,42.733333,-87.416667,03/04/2019,train,4,1,1,636.3451587
agqw,36.045,-79.09164499,27/06/2013,train,6,4,1,6406
agrt,36.11,-78.90602465,27/08/2018,train,8,4,1,3256
agsx,36.03,-78.72,20/03/2019,train,3,4,1,8751
agto,35.61133,-78.97810759,22/07/2016,train,7,4,1,1452
agtu,35.68836,-78.6997183,31/08/2016,train,8,4,3,119232
agvj,41.702596,-85.022696,06/07/2020,train,7,1,3,142582
agwh,35.65913356,-79.25062439,24/05/2021,train,5,4,1,871
agwi,34.53937,-92.27375,07/06/2017,train,6,4,3,139637.8
agxc,35.98,-78.8326989,20/04/2021,train,4,4,1,8840
agxe,36.028,-78.716,27/02/2013,train,2,4,2,22301
ahcm,42.027378,-78.967089,25/10/2019,train,10,2,2,96555
aheu,35.71499778,-79.14686265,27/07/2016,train,7,4,1,10435
ahez,35.86700851,-78.8138082,07/06/2016,train,6,4,1,18958
ahfv,38.76050002,-75.20283333,11/11/2020,train,11,4,1,11250
ahgu,41.707665,-73.382964,17/08/2017,train,8,2,2,56862
ahhw,37.2583,-120.475,15/08/2017,train,8,3,4,5757257
ahjj,35.88377911,-78.9480316,17/05/2017,train,5,4,1,3485
ahkg,35.8968229,-79.05242758,12/10/2015,train,10,4,2,67773
ahnr,35.6630193,-79.24340704,16/05/2019,train,5,4,1,8640
ahpj,35.90567405,-79.12326771,14/11/2019,train,11,4,2,58091
ahpn,37.8817,-121.249,17/07/2018,train,7,3,4,5174343.5
ahrn,35.68332631,-79.20568898,12/10/2015,train,10,4,1,11171
ahse,43.056389,-86.646389,18/04/2014,train,4,1,1,419.3225751
ahsh,35.63108168,-79.30272772,07/07/2015,train,7,4,2,59872
ahsi,39.21155,-97.00559,01/08/2016,train,8,1,4,1400175
ahsm,36.17911,-79.05363033,30/05/2013,train,5,4,2,21114
ahta,36.17,-79.05595372,25/08/2020,train,8,4,1,11672
ahtt,39.1853,-121.704,16/07/2014,train,7,3,4,7344000
ahuv,40.72010333,-85.1058325,21/06/2021,train,6,1,1,1104
ahvc,35.62908558,-79.30643526,27/01/2015,train,1,4,1,1780
ahvi,35.6809576,-79.2100886,14/02/2017,train,2,4,1,581
ahwi,37.4125,-120.759,02/04/2013,train,4,3,4,1940639
ahwv,35.64607,-79.02657715,13/07/2016,train,7,4,2,34855
ahys,35.976,-78.72010038,12/11/2013,train,11,4,1,1037
ahyx,36.0397,-106.8478,22/09/2014,train,9,3,1,4815.526362
aiap,35.67568789,-79.21987651,09/01/2020,train,1,4,2,29225
aiby,38.78199034,-85.69828611,24/08/2021,train,8,1,3,688974
aicl,35.65120238,-79.26535569,27/01/2016,train,1,4,1,908
aidy,37.2953,-120.85,08/08/2017,train,8,3,4,5042500
aiga,45.136667,-82.983333,29/03/2016,train,3,1,1,177.033734
aigc,35.68327308,-79.20578785,12/11/2015,train,11,4,1,5809
aihx,35.86958621,-78.83443883,20/09/2017,train,9,4,1,14523
aiiw,38.70408332,-75.07568333,24/07/2019,train,7,4,2,53799.99924
aiix,35.86477243,-78.79591174,07/07/2015,train,7,4,1,1291
aijb,35.87853053,-78.90602465,06/05/2015,train,5,4,1,7745
aijp,43.133333,-87,27/03/2017,train,3,1,1,272.4761434
aika,37.6003,-121.224,13/08/2019,train,8,3,4,6277500
ainj,35.70876995,-79.15843018,15/06/2021,train,6,4,1,1343
aipy,38.3068,-121.693,04/12/2019,train,12,3,4,5017500
aiqq,35.85853004,-78.74595081,09/08/2018,train,8,4,2,37759
aisa,37.2583,-120.475,12/04/2016,train,4,3,4,6320631.5
aivu,38.31806,-96.99139,28/08/2017,train,8,1,3,287280
aiwq,41.890646,-78.925275,15/06/2017,train,6,2,1,1326.470588
aiwt,35.69921527,-79.17617695,05/05/2014,train,5,4,1,11366
aixa,37.7705,-121.292,05/02/2019,train,2,3,4,4337423
aiyp,35.794,-79.004,17/10/2013,train,10,4,3,342011
aize,38.259,-121.668,05/02/2019,train,2,3,4,1338660
ajbb,36.045,-79.09169443,27/06/2013,train,6,4,1,2890
ajea,35.88259895,-78.93858625,18/10/2016,train,10,4,2,30498
ajfd,35.87176018,-78.85183816,15/01/2019,train,1,4,1,218
ajfx,35.86017604,-78.75912459,27/06/2013,train,6,4,1,10775
ajgg,34.40442,-111.0025,26/09/2017,train,9,3,2,36885
ajim,35.67,-79.04888467,14/05/2020,train,5,4,2,76087
ajjj,37.2141,-120.561,08/04/2014,train,4,3,4,5509763
ajkf,39.88423,-76.37506,30/08/2017,train,8,2,1,667
ajlw,35.8732509,-78.86376913,17/10/2019,train,10,4,1,726
ajmc,39.07775,-96.9059,08/09/2015,train,9,1,1,5985
ajme,37.61429993,-97.62981051,08/08/2016,train,8,1,3,259560
ajnn,35.67220137,-79.22635235,25/08/2014,train,8,4,2,51452
ajoh,38.0739,-121.212,28/02/2017,train,2,3,4,5047340
ajru,39.474744,-86.898353,14/06/2021,train,6,1,3,551346
ajrw,36.12,-78.91199013,21/05/2018,train,5,4,1,3631
ajsm,35.67385148,-79.22328745,10/12/2020,train,12,4,1,2490
ajsq,35.976,-78.72233743,14/01/2014,train,1,4,2,26359
ajuc,32.04667,-96.75054,13/09/2017,train,9,4,3,459650
ajuj,42.733333,-87,28/03/2013,train,3,1,1,347.6341717
ajvk,38.0601,-121.499,20/08/2013,train,8,3,4,1699658
ajvu,35.794,-79.004,18/09/2013,train,9,4,3,172182
ajwh,35.70195659,-79.17108526,02/07/2019,train,7,4,1,363
akba,38.2361,-121.419,23/09/2015,train,9,3,4,2643213.25
akbi,35.91322082,-79.18366825,10/06/2014,train,6,4,1,171
akbz,42.038186,-78.908886,14/08/2014,train,8,2,2,24591.78686
akcy,41.868925,-73.0977,27/09/2018,train,9,2,1,9477
akgu,35.2,-79.10518988,13/08/2018,train,8,4,1,376
akjw,41.702596,-85.022696,17/07/2017,train,7,1,2,47858
aklk,35.79,-79.02841904,19/02/2019,train,2,4,1,4357
aknj,35.33794,-79.04547374,21/07/2015,train,7,4,1,6708
akpm,35.85846793,-78.74545369,12/11/2015,train,11,4,1,508
akqd,44.736667,-86.721667,28/03/2017,train,3,1,1,261.5824421
akqj,36.17,-79.05516278,27/05/2020,train,5,4,2,24608
akqp,36.532781,-105.236671,09/04/2015,train,4,3,1,18993.94213
akrh,35.86160465,-78.77055843,05/12/2013,train,12,4,1,4195
aksu,37.9495,-121.182,21/05/2019,train,5,3,4,3682866.5
akvu,35.68556194,-79.20153654,27/01/2015,train,1,4,1,13942
akwt,39.74693889,-87.07598056,19/08/2019,train,8,1,3,754742
akww,37.5582,-121.164,10/03/2015,train,3,3,4,6016666.667
akxc,35.88868606,-78.98730438,14/09/2019,train,9,4,3,477073
akzy,37.6003,-121.224,08/05/2018,train,5,3,4,4632500
albx,37.6173,-122.074,13/07/2017,train,7,3,4,5480000
aldv,35.74,-79.02,10/04/2019,train,4,4,2,83924
alfh,45.75,-83.916667,29/03/2013,train,3,1,1,343.8792381
alif,38.3677,-121.521,18/10/2016,train,10,3,4,2714206.663
aliv,38.37080661,-98.79520846,16/10/2017,train,10,1,3,693315
aljj,40.3155,-96.9964,20/09/2017,train,9,1,3,971580
aljv,39.21155,-97.00559,11/10/2021,train,10,1,3,159003
aljz,35.67228121,-79.22620405,25/08/2014,train,8,4,2,28448
almt,41.843527,-78.957332,20/08/2013,train,8,2,1,4850.377358
alpb,38.36472,-97.10194,17/07/2017,train,7,1,2,99855
alpl,35.64404303,-79.27865341,17/10/2019,train,10,4,1,5532
alqd,38.70782502,-75.08086667,01/08/2018,train,8,4,1,13500
alqp,37.4419,-121.003,12/06/2018,train,6,3,4,1155822.5
alqs,39.21067,-96.97298,15/08/2016,train,8,1,3,722295
alsf,35.68915492,-79.19486296,11/03/2020,train,3,4,1,1367
altb,36.15,-79.1069695,23/09/2020,train,9,4,2,88952
alvv,35.794,-79.01630774,24/09/2015,train,9,4,3,448391
alwg,38.2104,-121.262,16/05/2017,train,5,3,4,4383014
alwn,35.72242328,-79.13307059,19/09/2013,train,9,4,1,290
alwp,44.87302,-93.556776,19/08/2013,train,8,1,1,610
alxm,37.6106,-121.229,12/08/2014,train,8,3,4,5702500
alxr,35.72378063,-79.13054947,19/06/2013,train,6,4,1,6172
alxv,35.976,-78.70966078,20/03/2013,train,3,4,1,17427
alyc,35.84,-79.06114428,09/09/2020,train,9,4,1,15560
alyf,38.307,-121.794,19/05/2015,train,5,3,4,7813333.333
amai,35.68484334,-79.20287125,20/05/2015,train,5,4,1,764
amak,38.307,-121.794,16/07/2019,train,7,3,4,7165000
amap,35.68870247,-79.19570334,10/06/2020,train,6,4,2,40664
amcm,35.63366331,-79.29793263,09/09/2015,train,9,4,1,8348
amcu,35.6771517,-79.21715765,16/05/2019,train,5,4,3,164107
amfl,35.86030027,-78.76011884,10/07/2013,train,7,4,2,31686
amgv,42.027378,-78.967089,27/10/2014,train,10,2,1,1237.5
amjd,35.63169382,-79.30159074,24/03/2015,train,3,4,1,13649
amkz,35.68926138,-79.19466523,09/01/2020,train,1,4,1,1598
amma,39.1766,-122.189,27/12/2017,train,12,3,4,6722500
ammk,36.17,-79.05214731,28/06/2018,train,6,4,2,71824
amol,35.742,-79.23387774,19/07/2016,train,7,4,3,214066
amow,35.64607,-79.02309728,08/06/2016,train,6,4,1,3631
amqv,43.89,-82.056667,22/04/2014,train,4,1,1,280.2385637
amrx,38.2104,-121.262,18/02/2016,train,2,3,4,2725455.5
amsp,44.868638,-93.524033,22/07/2013,train,7,1,1,780
amtf,36.00756,-78.96642518,11/06/2013,train,6,4,2,24398
amuf,35.6673575,-79.23534932,21/11/2016,train,11,4,2,32346
amuw,38.06284,-100.05499,10/06/2013,train,6,1,1,1197
amwp,35.72186437,-79.13410871,08/07/2014,train,7,4,1,17427
amww,35.68202219,-79.20811124,19/07/2016,train,7,4,3,281016
amwx,35.64607,-79.01961742,25/05/2016,train,5,4,1,3740
amyy,35.67129647,-79.2280331,22/04/2015,train,4,4,1,10005
anbo,35.742,-79.20579025,10/06/2015,train,6,4,2,69709
andt,41.840964,-79.009164,29/09/2015,train,9,2,1,1247.209877
anei,47.35085,-121.9925,07/09/2017,train,9,3,2,29598
anfv,35.74,-79.02,15/11/2017,train,11,4,4,1404354
angt,35.7197352,-79.13806342,22/07/2013,train,7,4,1,1452
anke,37.4341,-122.218,07/07/2015,train,7,3,4,4950000
anlm,35.64721018,-79.27277078,22/03/2018,train,3,4,1,6703
anlp,36.1606,-79.0982197,27/07/2015,train,7,4,1,401
anmy,42.383333,-87,04/04/2019,train,4,1,1,163.8160638
annu,35.61,-78.95548846,28/08/2018,train,8,4,2,32200
anra,43.89,-82.056667,09/08/2015,train,8,1,1,5878.263798
anrk,35.72229021,-79.13331776,21/05/2018,train,5,4,1,145
anrt,35.794,-79.01126548,08/10/2014,train,10,4,3,494743
antr,36.03,-78.69400138,20/04/2021,train,4,4,1,290
anuc,37.5582,-121.164,08/08/2017,train,8,3,4,5410000
anuh,35.67294658,-79.2249682,05/08/2021,train,8,4,2,40083
anvc,36.045,-79.09248537,25/09/2013,train,9,4,2,63988
anvp,37.2616,-120.906,14/07/2020,train,7,3,4,4885000
anwq,35.86983466,-78.83642733,15/11/2017,train,11,4,1,14232
anxr,45.41361,-84.80677,24/07/2017,train,7,1,2,38613
anyq,35.65253312,-79.262884,07/07/2015,train,7,4,1,2582
anzf,36.177,-79.05412467,31/07/2013,train,7,4,2,45021
aobs,37.9792,-121.57,16/12/2016,train,12,3,4,1614989
aobu,37.1145,-120.89,10/05/2016,train,5,3,4,6977500
aoce,36.16894,-79.07112993,05/09/2013,train,9,4,3,191701
aoco,35.67467653,-79.221755,15/07/2020,train,7,4,1,1053
aocw,39.07775,-96.9059,08/08/2016,train,8,1,3,161910
aofk,35.87809574,-78.90254478,24/03/2015,train,3,4,1,1634
aogc,35.91505317,-79.1983334,27/01/2015,train,1,4,1,1017
aogm,40.11461,-75.8596,15/08/2019,train,8,2,1,0
aohi,35.64702388,-79.27311681,11/04/2018,train,4,4,2,21087
aohj,40.38382,-76.0402,05/08/2019,train,8,2,4,1733333
aohs,36.055,-78.763,10/12/2014,train,12,4,2,49861
aoit,35.67097709,-79.22862631,20/05/2015,train,5,4,1,137
aojn,35.72013442,-79.13732191,22/05/2013,train,5,4,1,508
aojo,39.21067,-96.97298,03/08/2015,train,8,1,4,1322370
aojs,35.71861738,-79.14013964,01/06/2019,train,6,4,3,724203
aoko,36.03,-78.68753877,16/09/2020,train,9,4,1,581
aolc,35.90905923,-79.15036096,12/07/2021,train,7,4,3,605116
aoln,35.65040394,-79.26683871,24/05/2016,train,5,4,2,77939
aomf,38.307,-121.794,10/02/2014,train,2,3,4,7292500
aony,35.87207074,-78.85432378,16/05/2019,train,5,4,2,50048
aoom,29.84254,-96.76571,20/09/2017,train,9,4,4,1052550
aoon,35.89570486,-79.04347936,07/07/2015,train,7,4,2,42116
aopf,35.68825002,-79.19654371,24/09/2020,train,9,4,1,1355
aopl,35.66517509,-79.2394029,06/12/2017,train,12,4,1,12522
aoqv,39.79219,-99.97105,13/06/2016,train,6,1,4,2137905
aosm,35.88694689,-78.97338491,06/12/2018,train,12,4,1,2541
aoth,35.64790216,-79.2714855,18/10/2017,train,10,4,1,1138
aotx,35.91300343,-79.18192831,14/04/2014,train,4,4,2,59507
aowb,35.69288098,-79.18794222,20/07/2017,train,7,4,2,60350
aoxm,41.512172,-73.476168,17/08/2017,train,8,2,1,1474.2
aozh,35.868375,-78.82474492,24/01/2017,train,1,4,1,2905
aozi,35.65436,-79.01340337,31/08/2016,train,8,4,3,108437
aozp,35.86694639,-78.81331107,07/06/2016,train,6,4,1,7850
aozr,38.48312168,-75.12969166,13/10/2020,train,10,4,3,124449.9969
apak,35.9138109,-79.18839092,16/07/2014,train,7,4,2,28319
apbq,35.63555295,-79.29442282,18/10/2017,train,10,4,2,47125
apcu,37.2639,-120.906,17/08/2020,train,8,3,4,5745000
apdc,38.1602,-121.206,17/03/2015,train,3,3,3,947406.5
apdg,41.1883,-123.7055,22/08/2018,train,8,3,1,650
apec,37.3294,-122.086,03/06/2019,train,6,3,4,5529302
apej,35.721199,-79.13534455,25/06/2018,train,6,4,1,11618
apiz,35.71896337,-79.139497,16/07/2018,train,7,4,1,145
aplj,35.64607,-79.02284872,08/06/2016,train,6,4,1,1525
apnm,35.71741972,-79.14236417,01/06/2019,train,6,4,1,376
apnz,39.80482,-99.93915,22/07/2019,train,7,1,2,83475
apoh,35.66605338,-79.23777158,20/07/2017,train,7,4,1,968
apoq,38.2996,-121.383,18/06/2019,train,6,3,4,4992500
apou,37.3205,-122.061,09/07/2013,train,7,3,4,5110000
apph,35.98,-78.79541462,16/08/2018,train,8,4,2,60996
apqc,35.98,-78.79143763,27/06/2018,train,6,4,1,8875
apre,35.443,-78.87222023,12/08/2014,train,8,4,1,6172
aprj,35.6487006,-79.27000248,21/03/2017,train,3,4,1,3776
apry,38.814,-86.08063972,23/08/2021,train,8,1,3,324325
apsd,35.85809525,-78.74247094,15/07/2014,train,7,4,1,436
apsf,39.16522,-96.91105,05/07/2017,train,7,1,3,269325
apsn,35.67608711,-79.219135,17/10/2019,train,10,4,1,6632
apsz,37.2639,-120.906,20/05/2021,train,5,3,4,5982500
apuh,35.65689793,-79.25477684,30/07/2013,train,7,4,1,254
apuu,37.82516,-99.919103,25/10/2021,train,10,1,3,330996
apux,37.9718,-121.374,12/02/2020,train,2,3,4,1522330
apuy,35.51,-79.09594574,28/09/2017,train,9,4,3,135788
apva,35.976,-78.72482305,27/03/2014,train,3,4,1,1598
apwb,35.8888724,-78.98879575,17/10/2019,train,10,4,2,62932
apwn,35.794,-79.01047454,05/08/2014,train,8,4,3,120176
apwq,41.697709,-73.28029,31/08/2017,train,8,2,1,9266.4
apyv,37.2764,-120.954,11/06/2013,train,6,3,4,6607500
apzy,35.64202032,-79.28241039,22/10/2020,train,10,4,1,1130
aqae,35.65814882,-79.25245345,02/12/2021,train,12,4,1,290
aqaf,39.16522,-96.91105,02/06/2014,train,6,1,3,182070
aqbh,37.04702,-97.04936,11/09/2017,train,9,1,3,210420
aqdc,35.98,-78.80485997,17/04/2019,train,4,4,1,2541
aqdr,40.11487,-75.85933,16/08/2021,train,8,2,4,1666667
aqee,42.83409996,-72.47257647,17/08/2017,train,8,2,1,1840
aqef,35.64172756,-79.28295416,17/03/2021,train,3,4,1,17790
aqfl,35.68473689,-79.20306899,10/06/2015,train,6,4,2,22472
aqgh,35.70735937,-79.16105018,24/08/2016,train,8,4,1,1670
aqhq,35.794,-79.02060849,13/12/2016,train,12,4,1,8937
aqhw,35.57,-78.93908338,01/05/2018,train,5,4,2,21037
aqis,35.88126352,-78.92789809,09/05/2016,train,5,4,1,12344
